Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-2173795,Downregulation of SMAD2/3:SMAD4 transcriptional activity,7,38,0.002474442,5.78E-04,0.350666797,24,27,0.001864383,9606,Homo sapiens,TGIF1;NCOR2;SMAD2;UBC;SMAD7,,R-HSA-2187395;R-HSA-9730967;R-HSA-2187330;R-HSA-870538;R-HSA-870437;R-HSA-2176491;R-HSA-173481;R-HSA-2179274;R-HSA-173545;R-HSA-2179276;R-HSA-2186607;R-HSA-2186767;R-HSA-9736966;R-HSA-9731111;R-HSA-2186741;R-HSA-2176503;R-HSA-2176502;R-HSA-2186747;R-HSA-209055;R-HSA-2187325;R-HSA-870449;R-HSA-2187388;R-HSA-9736970;R-HSA-2106591
R-HSA-8849469,PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1,4,11,7.16E-04,7.83E-04,0.350666797,5,8,5.52E-04,9606,Homo sapiens,DOK1;UBC;ARAP1,,R-HSA-8848774;R-HSA-8848864;R-HSA-8848829;R-HSA-8848873;R-HSA-8848776
R-HSA-2033514,FGFR3 mutant receptor activation,4,17,0.001106987,0.003762833,0.518614855,10,10,6.91E-04,9606,Homo sapiens,FGF18;FGFR3,,R-HSA-2033485;R-HSA-8853317;R-HSA-2012074;R-HSA-2012073;R-HSA-8853309;R-HSA-2012084;R-HSA-2033476;R-HSA-2012082;R-HSA-2038387;R-HSA-2038386
R-HSA-1839130,Signaling by activated point mutants of FGFR3,4,17,0.001106987,0.003762833,0.518614855,6,6,4.14E-04,9606,Homo sapiens,FGF18;FGFR3,,R-HSA-2033485;R-HSA-2012074;R-HSA-2012073;R-HSA-2012084;R-HSA-2033476;R-HSA-2012082
R-HSA-5654732,Negative regulation of FGFR3 signaling,5,34,0.002213974,0.008806947,0.518614855,5,14,9.67E-04,9606,Homo sapiens,FGF18;UBC;FGFR3,,R-HSA-5654679;R-HSA-934604;R-HSA-5654565;R-HSA-1295621;R-HSA-5654730
R-HSA-4641263,Regulation of FZD by ubiquitination,4,22,0.001432571,0.009160477,0.518614855,6,6,4.14E-04,9606,Homo sapiens,FZD4;UBC;LGR6,,R-HSA-4641206;R-HSA-4641236;R-HSA-4641205;R-HSA-4641253;R-HSA-4641249;R-HSA-4641246
R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,35,625,0.040698053,0.009272393,0.518614855,252,746,0.051512222,9606,Homo sapiens,LAMA5;NAB1;ITPR3;TCIRG1;PTN;PRKCZ;FGFRL1;SPRED2;GGA3;UBC;FYN;PAG1;SH2B2;MEF2A;SPHK1;EPS15L1;FOS;BAIAP2;FRS3;PTK2;VEGFA;ARC;COL6A2;FGF18;TRIB1;FGFR3;MXD4,,R-HSA-5654614;R-HSA-9701524;R-HSA-5654615;R-HSA-5654612;R-HSA-205319;R-HSA-5654608;R-HSA-1562641;R-HSA-5654622;R-HSA-5654623;R-HSA-8875661;R-HSA-5654620;R-HSA-9612440;R-HSA-5654618;R-HSA-8875659;R-HSA-9701507;R-HSA-5654607;R-HSA-5654605;R-HSA-5654603;R-HSA-5654646;R-HSA-5654647;R-HSA-5654643;R-HSA-5654640;R-HSA-5654641;R-HSA-8875183;R-HSA-4420202;R-HSA-5654655;R-HSA-1470012;R-HSA-5654653;R-HSA-1470010;R-HSA-4420206;R-HSA-5654651;R-HSA-1470009;R-HSA-5654631;R-HSA-5654628;R-HSA-9612448;R-HSA-5654625;R-HSA-5654637;R-HSA-5654634;R-HSA-5654633;R-HSA-4420099;R-HSA-5218830;R-HSA-5218828;R-HSA-5218826;R-HSA-5218824;R-HSA-4420107;R-HSA-5218823;R-HSA-5218822;R-HSA-5218821;R-HSA-5218820;R-HSA-5218819;R-HSA-5218818;R-HSA-5218847;R-HSA-5218845;R-HSA-4420117;R-HSA-5218839;R-HSA-5218838;R-HSA-4420121;R-HSA-5218836;R-HSA-9032402;R-HSA-5218832;R-HSA-1963586;R-HSA-8867047;R-HSA-382054;R-HSA-4420128;R-HSA-9032426;R-HSA-8867044;R-HSA-5654578;R-HSA-8867041;R-HSA-5218855;R-HSA-5218854;R-HSA-5218852;R-HSA-5218851;R-HSA-4420143;R-HSA-5654586;R-HSA-5654587;R-HSA-5654584;R-HSA-4420140;R-HSA-1472121;R-HSA-5654566;R-HSA-5654565;R-HSA-5654562;R-HSA-5252133;R-HSA-9612516;R-HSA-9037040;R-HSA-4420153;R-HSA-3928647;R-HSA-5654571;R-HSA-109699;R-HSA-5654224;R-HSA-1918092;R-HSA-1918095;R-HSA-5654222;R-HSA-5654734;R-HSA-5654730;R-HSA-5654729;R-HSA-8941613;R-HSA-9032761;R-HSA-8941628;R-HSA-8941618;R-HSA-8941623;R-HSA-5654679;R-HSA-934604;R-HSA-5654677;R-HSA-5654163;R-HSA-5654672;R-HSA-182986;R-HSA-5654684;R-HSA-182990;R-HSA-5654169;R-HSA-5654662;R-HSA-5654663;R-HSA-5654151;R-HSA-169683;R-HSA-5654148;R-HSA-169680;R-HSA-182993;R-HSA-5654658;R-HSA-5654659;R-HSA-5654147;R-HSA-9032798;R-HSA-8874079;R-HSA-8874078;R-HSA-5654159;R-HSA-5654669;R-HSA-5654157;R-HSA-9691215;R-HSA-5654667;R-HSA-5654664;R-HSA-5654709;R-HSA-8874083;R-HSA-9701488;R-HSA-8874082;R-HSA-9679477;R-HSA-5654705;R-HSA-8874080;R-HSA-5654717;R-HSA-5654714;R-HSA-9701485;R-HSA-199929;R-HSA-5654701;R-HSA-183036;R-HSA-5654697;R-HSA-9613202;R-HSA-194310;R-HSA-177926;R-HSA-194311;R-HSA-183051;R-HSA-201486;R-HSA-9032582;R-HSA-9032601;R-HSA-1295621;R-HSA-9725315;R-HSA-9621386;R-HSA-5218645;R-HSA-9621385;R-HSA-5218643;R-HSA-5218642;R-HSA-9031575;R-HSA-5218640;R-HSA-8875431;R-HSA-183072;R-HSA-5357429;R-HSA-201510;R-HSA-201515;R-HSA-5357432;R-HSA-5654399;R-HSA-5654397;R-HSA-201519;R-HSA-5654392;R-HSA-183084;R-HSA-195378;R-HSA-190258;R-HSA-201521;R-HSA-183089;R-HSA-9031610;R-HSA-8875443;R-HSA-190263;R-HSA-190261;R-HSA-190265;R-HSA-9031624;R-HSA-1433428;R-HSA-9031616;R-HSA-1433418;R-HSA-1433456;R-HSA-190326;R-HSA-1433454;R-HSA-1433451;R-HSA-1433488;R-HSA-2029465;R-HSA-9700120;R-HSA-9700121;R-HSA-205205;R-HSA-9700149;R-HSA-9700662;R-HSA-9700156;R-HSA-9700154;R-HSA-4420083;R-HSA-5218815;R-HSA-5218814;R-HSA-1253282;R-HSA-205234;R-HSA-5218813;R-HSA-190385;R-HSA-5218812;R-HSA-9700647;R-HSA-5218811;R-HSA-205238;R-HSA-190388;R-HSA-5218809;R-HSA-9674532;R-HSA-1433506;R-HSA-5654510;R-HSA-5218806;R-HSA-5654511;R-HSA-5218805;R-HSA-9700142;R-HSA-5218804;R-HSA-9700648;R-HSA-205244;R-HSA-1433514;R-HSA-9032502;R-HSA-5654422;R-HSA-5654423;R-HSA-5654418;R-HSA-5654416;R-HSA-5654428;R-HSA-5654426;R-HSA-1977296;R-HSA-190413;R-HSA-5654425;R-HSA-5654406;R-HSA-9700164;R-HSA-1358789;R-HSA-5654407;R-HSA-1358790;R-HSA-5654404;R-HSA-1433542;R-HSA-5654402;R-HSA-1358797;R-HSA-5654413;R-HSA-9700175;R-HSA-1358792;R-HSA-9700168;R-HSA-9032532;R-HSA-5654408;R-HSA-5654409;R-HSA-1358795;R-HSA-9700171;R-HSA-74723;R-HSA-9619838;R-HSA-5357479;R-HSA-9700200
R-HSA-2173793,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,7,64,0.004167481,0.010001762,0.518614855,44,51,0.003521613,9606,Homo sapiens,TGIF1;NCOR2;SMAD2;UBC;SMAD7,,R-HSA-2186785;R-HSA-9730967;R-HSA-2187303;R-HSA-870538;R-HSA-9736979;R-HSA-9733203;R-HSA-2176491;R-HSA-9736984;R-HSA-2187309;R-HSA-2186607;R-HSA-9736966;R-HSA-2186741;R-HSA-1484099;R-HSA-2176503;R-HSA-2176502;R-HSA-2186747;R-HSA-209055;R-HSA-2187325;R-HSA-2187388;R-HSA-170847;R-HSA-9736970;R-HSA-2187395;R-HSA-2187330;R-HSA-2031355;R-HSA-870437;R-HSA-173481;R-HSA-9736959;R-HSA-2179274;R-HSA-173545;R-HSA-2179276;R-HSA-2186767;R-HSA-2186771;R-HSA-173488;R-HSA-2186643;R-HSA-9731111;R-HSA-2106579;R-HSA-9736992;R-HSA-2127257;R-HSA-2106586;R-HSA-2176475;R-HSA-870449;R-HSA-2187293;R-HSA-2186780;R-HSA-2106591
R-HSA-9014325,"TICAM1,TRAF6-dependent induction of TAK1 complex",3,13,8.47E-04,0.012510658,0.518614855,6,6,4.14E-04,9606,Homo sapiens,UBC;TSKU,,R-HSA-847070;R-HSA-450259;R-HSA-177690;R-HSA-177694;R-HSA-9628444;R-HSA-177692
R-HSA-5654741,Signaling by FGFR3,6,53,0.003451195,0.014194282,0.518614855,31,43,0.002969203,9606,Homo sapiens,FGF18;UBC;FGFR3;FRS3,,R-HSA-5654679;R-HSA-934604;R-HSA-5654416;R-HSA-5654224;R-HSA-5654623;R-HSA-5654148;R-HSA-1295621;R-HSA-5654222;R-HSA-5654413;R-HSA-5654730;R-HSA-5654408;R-HSA-5654409;R-HSA-5654646;R-HSA-5654647;R-HSA-5654709;R-HSA-5654643;R-HSA-5654640;R-HSA-5654641;R-HSA-5654705;R-HSA-5654631;R-HSA-5654628;R-HSA-190385;R-HSA-5654565;R-HSA-8941628;R-HSA-190263;R-HSA-190388;R-HSA-190261;R-HSA-5654625;R-HSA-5654637;R-HSA-5654634;R-HSA-5654633
